sku,nombre,imagen,precio,frecuencia,inventario_tipo,categoria,existencias,descripcion,precio_original,modelo_caja,descuento,tamano_altavoz,caracteristicas
"CHL-001","Chocolate Hershey's Leche (40g)","assets/img/91fL315hJIL._SL1500_.webp","20","Inmediato","Outlet","chocolates-leche","12","Producto premium de la categoría Chocolates de Leche en liquidación y oferta.","27","CHL-001","25% OFF","N/A","Garantía oficial y entrega inmediata."
"CHL-002","Chocolate Carlos V Nestlé","assets/img/91fL315hJIL._SL1500_.webp","12","Inmediato","Outlet","chocolates-leche","12","Producto premium de la categoría Chocolates de Leche en liquidación y oferta.","16","CHL-002","25% OFF","N/A","Garantía oficial y entrega inmediata."
"CHL-003","Chocolate Milky Way Barra","assets/img/91fL315hJIL._SL1500_.webp","18","Inmediato","Outlet","chocolates-leche","12","Producto premium de la categoría Chocolates de Leche en liquidación y oferta.","24","CHL-003","25% OFF","N/A","Garantía oficial y entrega inmediata."
"CHL-004","Chocolate Snickers Cacahuate","assets/img/91fL315hJIL._SL1500_.webp","18","Inmediato","Outlet","chocolates-leche","12","Producto premium de la categoría Chocolates de Leche en liquidación y oferta.","24","CHL-004","25% OFF","N/A","Garantía oficial y entrega inmediata."
"CHL-005","Chocolate M&M's Cacahuate (44g)","assets/img/91fL315hJIL._SL1500_.webp","22","Inmediato","Outlet","chocolates-leche","12","Producto premium de la categoría Chocolates de Leche en liquidación y oferta.","29","CHL-005","25% OFF","N/A","Garantía oficial y entrega inmediata."
"CHL-006","Kisses Hershey's Bolsa","assets/img/91fL315hJIL._SL1500_.webp","45","Inmediato","Outlet","chocolates-leche","12","Producto premium de la categoría Chocolates de Leche en liquidación y oferta.","60","CHL-006","25% OFF","N/A","Garantía oficial y entrega inmediata."
"CHL-007","Chocolate Turin Conejos (20g)","assets/img/91fL315hJIL._SL1500_.webp","15","Inmediato","Outlet","chocolates-leche","12","Producto premium de la categoría Chocolates de Leche en liquidación y oferta.","20","CHL-007","25% OFF","N/A","Garantía oficial y entrega inmediata."
"CHL-008","Chocolate Kinder Delice","assets/img/91fL315hJIL._SL1500_.webp","16","Inmediato","Outlet","chocolates-leche","12","Producto premium de la categoría Chocolates de Leche en liquidación y oferta.","21","CHL-008","25% OFF","N/A","Garantía oficial y entrega inmediata."
"CHL-009","Chocolate Kinder Sorpresa (20g)","assets/img/91fL315hJIL._SL1500_.webp","32","Inmediato","Outlet","chocolates-leche","12","Producto premium de la categoría Chocolates de Leche en liquidación y oferta.","43","CHL-009","25% OFF","N/A","Garantía oficial y entrega inmediata."
"CHL-010","Chocolate Crunch Nestlé Barra","assets/img/91fL315hJIL._SL1500_.webp","18","Inmediato","Outlet","chocolates-leche","12","Producto premium de la categoría Chocolates de Leche en liquidación y oferta.","24","CHL-010","25% OFF","N/A","Garantía oficial y entrega inmediata."
